PMID,Title,Authors,Journal,Publication Date,Abstract,Publication Type,MeSH Terms
33609248,"Secondary AML Emerging After Therapy with Hypomethylating Agents: Outcomes, Prognostic Factors, and Treatment Options.","Richardson Daniel R, Green Steven D, Foster Matthew C, Zeidner Joshua F",Current hematologic malignancy reports,"{'Year': '2021', 'Month': 'Feb'}","Secondary AML (s-AML) encompasses a distinct subgroup of AML with either therapy-related AML or AML arising from preexisting myeloid neoplasms. Despite recent advances in the treatment armamentarium of AML, outcomes remain poor in s-AML. The purpose of this review is to highlight distinct characteristics, prognostic factors, and treatment options for patients with s-AML. Further, we focus on a distinctly poor-risk subgroup of s-AML with previous exposure to hypomethylating agents (HMAs) and describe ongoing clinical trials in this patient population.","Journal Article, Review","Animals, Antineoplastic Agents, Azacitidine, Benzimidazoles, Bridged Bicyclo Compounds, Heterocyclic, Cytarabine, Daunorubicin, Gemtuzumab, Humans, Induction Chemotherapy, Leukemia, Myeloid, Acute, Molecular Targeted Therapy, Phenylurea Compounds, Prognosis, Sulfonamides"
39392121,Reactive oxygen species and aldehyde dehydrogenase 1A as prognosis and theragnostic biomarker in acute myeloid leukaemia patients.,"Venton G, Colle J, Tichadou A, Quessada J, Baier C, Labiad Y, Perez M, De Lassus L, Loosveld M, Arnoux I, Abbou N, Ceylan I, Martin G, Costello R",Journal of cellular and molecular medicine,"{'Year': '2024', 'Month': 'Oct'}","Acute myeloid leukaemia (AML) remains a major unmet medical, despite recent progress in targeted molecular therapies. One aspect of leukaemic cell resistance to chemotherapy is the development of clones with increased capacity to respond to cellular stress and the production of reactive oxygen species (ROS), thanks in particular to a high aldehyde dehydrogenases (ALDH) 1A1/2 activity. At diagnosis, ROS level and ALDH1A1/2 activity in AML patients BM are correlated with the different ELN 2022 prognostic groups and overall survival (OS). A significant lower ALDH1A1/2 activity in BM was observed in the favourable ELN2022 subgroup compared to the intermediate and adverse group (p < 0.01). In the same way, the ROS levels were significantly lower in the favourable ELN 2022 subgroup compared to the intermediate group (p < 0.0001) and adverse group (p < 0.0002). ROS<sup>high</sup> AML patients had a significantly lower median overall survival (OS) (8.2 months) than ROS<sup>low</sup> patients (24.6 months) (p = 0.0368). After first-line therapy, a significant increase of ROS level (p = 0.015) and ALDH1A1/2 activity (0 = 0.0273) in leukaemic blasts was observed, especially in the refractory ones. ABD-3001, a competitive and irreversible inhibitor of ALDHs 1 and 3, can in vitro inhibit the proliferation of patient-derived leukaemic cells in accordance with redox balance. In multivariate analysis, ROS level was the most significant (p < 0.05) and the strongest predictive factor for the sensitivity of cells to ABD-3001. The safety profile of ABD-3001 is currently being assessed through the first inhuman multicenter phase 1 clinical trial ""ODYSSEY"" (NCT05601726) for patients with relapsed AML.",Journal Article,"Adult, Aged, Aged, 80 and over, Female, Humans, Male, Middle Aged, Young Adult, Aldehyde Dehydrogenase, Aldehyde Dehydrogenase 1 Family, Aldehyde Dehydrogenase, Mitochondrial, Biomarkers, Tumor, Leukemia, Myeloid, Acute, Prognosis, Reactive Oxygen Species, Retinal Dehydrogenase, Multicenter Studies as Topic, Clinical Trials, Phase I as Topic"
37174019,"A Multicenter, Open-Label, Phase I/II Study of FN-1501 in Patients with Advanced Solid Tumors.","Richardson Gary Edward, Al-Rajabi Raed, Uprety Dipesh, Hamid Anis, Williamson Stephen K, Baranda Joaquina, Mamdani Hirva, Lee Ya-Li, Li Li, Wang Xingli, Dong Xunwei",Cancers,"{'Year': '2023', 'Month': 'Apr', 'Day': '29'}","FN-1501, a potent inhibitor of receptor FMS-like tyrosine kinase 3 (<i>FLT3</i>) and <i>CDK4/6</i>, <i>KIT</i>, <i>PDGFR</i>, <i>VEGFR2</i>, <i>ALK,</i> and <i>RET</i> tyrosine kinase proteins, has demonstrated significant in vivo activity in various solid tumor and leukemia human xenograft models. Anomalies in <i>FLT3</i> have an established role as a therapeutic target where the gene has been shown to play a critical role in the growth, differentiation, and survival of various cell types in hematopoietic cancer and have shown promise in various solid tumors. An open-label, Phase I/II study (NCT03690154) was designed to evaluate the safety and PK profile of FN-1501 as monotherapy in patients (pts) with advanced solid tumors and relapsed, refractory (R/R) AML.",Journal Article,
39821392,A phase I study of MLN4924 and belinostat in relapsed/refractory acute myeloid leukemia or myelodysplastic syndrome.,"Maher Keri R, Shafer Danielle, Schaar Dale, Bandyopadhyay Dipankar, Deng Xiaoyan, Wright John, Piekarz Richard, Rudek Michelle A, Harvey R Donald, Grant Steven",Cancer chemotherapy and pharmacology,"{'Year': '2025', 'Month': 'Jan', 'Day': '17'}","Relapsed and/or refractory acute myeloid leukemia and high-risk myelodysplastic syndrome continue to have a poor prognosis with limited treatment options despite advancements in rational combination and targeted therapies. Belinostat (an HDAC inhibitor) and Pevonedistat (a NEDD8 inhibitor) have each been independently studied in hematologic malignancies and have tolerable safety profiles with limited single-agent activity. Preclinical studies in AML cell lines and primary AML cells show the combination to be highly synergistic, particularly in high-risk phenotypes such as p53 mutant and FLT-3-ITD positive cells. Here, we present the safety, pharmacokinetics and pharmacodynamics of belinostat and pevonedistat in a dose escalation Phase I study in AML and High-Risk MDS.","Journal Article, Clinical Trial, Phase I","Humans, Leukemia, Myeloid, Acute, Myelodysplastic Syndromes, Middle Aged, Male, Female, Aged, Sulfonamides, Antineoplastic Combined Chemotherapy Protocols, Pyrimidines, Hydroxamic Acids, Adult, Dose-Response Relationship, Drug, Aged, 80 and over, Maximum Tolerated Dose, Cyclopentanes"
37814121,"E7820, an anti-cancer sulfonamide, degrades RBM39 in patients with splicing factor mutant myeloid malignancies: a phase II clinical trial.","Bewersdorf Jan Philipp, Stahl Maximilian, Taylor Justin, Mi Xiaoli, Chandhok Namrata Sonia, Watts Justin, Derkach Andriy, Wysocki Mateusz, Lu Sydney X, Bourcier Jessie, Hogg Simon J, Rahman Jahan, Chaudhry Sana, Totiger Tulasigeri M, Abdel-Wahab Omar, Stein Eytan M",Leukemia,"{'Year': '2023', 'Month': 'Dec'}",No abstract available,"Clinical Trial, Phase II, Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't","Humans, RNA Splicing Factors, Neoplasms, Sulfonamides, Indoles, RNA Splicing"
38135371,"Oral decitabine-cedazuridine versus intravenous decitabine for myelodysplastic syndromes and chronic myelomonocytic leukaemia (ASCERTAIN): a registrational, randomised, crossover, pharmacokinetics, phase 3 study.","Garcia-Manero Guillermo, McCloskey James, Griffiths Elizabeth A, Yee Karen W L, Zeidan Amer M, Al-Kali Aref, Deeg H Joachim, Patel Prapti A, Sabloff Mitchell, Keating Mary-Margaret, Zhu Nancy, Gabrail Nashat Y, Fazal Salman, Maly Joseph, Odenike Olatoyosi, Kantarjian Hagop, DeZern Amy E, O'Connell Casey L, Roboz Gail J, Busque Lambert, Buckstein Rena, Amin Harshad, Randhawa Jasleen, Leber Brian, Shastri Aditi, Dao Kim-Hien, Oganesian Aram, Hao Yong, Keer Harold N, Azab Mohammad, Savona Michael R",The Lancet. Haematology,"{'Year': '2024', 'Month': 'Jan'}",The DNA methyltransferase inhibitors azacitidine and decitabine for individuals with myelodysplastic syndromes or chronic myelomonocytic leukaemia are available in parenteral form. Oral therapy with similar exposure for these diseases would offer potential treatment benefits. We aimed to compare the safety and pharmacokinetics of oral decitabine plus the cytidine deaminase inhibitor cedazuridine versus intravenous decitabine.,"Randomized Controlled Trial, Clinical Trial, Phase III, Journal Article","Male, Humans, Female, Decitabine, Treatment Outcome, Leukemia, Myelomonocytic, Chronic, Myelodysplastic Syndromes, Antineoplastic Combined Chemotherapy Protocols, Pneumonia"
38911469,Ivosidenib in Chinese patients with relapsed or refractory isocitrate dehydrogenase 1 mutated acute myeloid leukemia: a registry study.,"Sun Mingyuan, Yin Qingsong, Liang Yang, Chang Chunkang, Zheng Jing, Li Jian, Ji Chunyan, Qiu Huiying, Li Junmin, Gong Yuping, Luo Sheng, Zhang Yan, Chen Rumei, Shen Zhenwei, Yue Zenglian, Wang Siyuan, Shi Qingmei, Yang Jason, Jin Jie, Wang Jianxiang","Blood science (Baltimore, Md.)","{'Year': '2024', 'Month': 'Jul'}","Ivosidenib, an isocitrate dehydrogenase 1 (<i>IDH1</i>) inhibitor, has demonstrated clinical benefits in a pivotal study (AG120-C-001) in patients with <i>IDH1</i>-mutated (m<i>IDH1</i>) acute myeloid leukemia (AML). A registry study (CS3010-101: NCT04176393) was conducted to assess the pharmacokinetic (PK) characteristics, safety, and efficacy of ivosidenib in Chinese patients with relapsed or refractory (R/R) m<i>IDH1</i> AML. Patients received ivosidenib 500 mg once daily for 28-day cycles until disease progression. Ten subjects underwent intensive PK/progressive disease (PD) assessments. All subjects had the clinical response assessed at screening, every 28 days through month 12, and then every 56 days. Between November 12, 2019, and April 2, 2021, 30 patients were enrolled; 26 (86.7%) had de novo AML and 18 (60.0%) were transfusion-dependent at baseline. Following single and repeated doses of ivosidenib, median time to maximum plasma concentration (<i>T</i> <sub>max</sub>) was 4.0 and 2.0 hours, respectively. The inter-individual variability of pharmacokinetic exposure was moderate to high (coefficient of variation [CV], 25%-53%). No obvious accumulation was observed after repeated doses at cycle 2 day 1. Regarding the clinical response, the CR + CRh rate was 36.7% (95% confidence interval [CI]: 19.9%-56.1%), the median duration of CR + CRh was 19.7 months (95% CI: 2.9 months-not reached [NR]), and median duration of response (DoR) was 14.3 months (95% CI: 6.4 months-NR). Consistent clinical benefits and safety of ivosidenib were consistently observed at the final data cutoff with median follow-up time 26.0 months, as compared with primary data cutoff, and the data from Chinese R/R m<i>IDH1</i> AML patients were also consistent with results from pivotal study.",Journal Article,
37917187,Clinical pharmacokinetics and pharmacodynamics of ivosidenib in Chinese patients with relapsed or refractory IDH1-mutated acute myeloid leukemia.,"Yue Zenglian, Pan Chaohsuan, Wang Siyuan, N Tse Archie, Sheng Yucheng",European journal of clinical pharmacology,"{'Year': '2024', 'Month': 'Jan'}",This study aimed to assess the pharmacokinetics (PK) and pharmacodynamics (PD) of ivosidenib in Chinese patients with relapsed or refractory acute myeloid leukemia (R/R AML) carrying the mIDH1 mutation.,Journal Article,"Humans, Antineoplastic Agents, Isocitrate Dehydrogenase, Leukemia, Myeloid, Acute, Mutation, China"
37166484,Single-center phase 2 study of PD-1 inhibitor combined with DNA hypomethylation agent + CAG regimen in patients with relapsed/refractory acute myeloid leukemia.,"Gao Xiao-Ning, Su Yong-Feng, Li Meng-Yue, Jing Yu, Wang Jun, Xu Lei, Zhang Lin-Lin, Wang An, Wang Yi-Zhi, Zheng Xuan, Li Yan-Fen, Liu Dai-Hong","Cancer immunology, immunotherapy : CII","{'Year': '2023', 'Month': 'Aug'}","Anti-PD-1 monotherapy had limited clinical efficacy in relapsed/refractory (r/r) AML patients with higher PD-1 and PD-L1 expression. Hence, we investigated the efficacy and safety of PD-1 inhibitor with DNA hypomethylating agent (HMA) + CAG regimen in patients who had failed prior AML therapy. In this phase 2, single-arm study, r/r AML patients received azacitidine or decitabine plus CAG regimen with tislelizumab. Primary endpoints were efficacy (objective response rate [ORR]) and safety. Secondary endpoints included overall survival (OS), event-free survival (EFS) and duration of response (DOR). Statistical analyses were performed using Stata 14.0 and SPSS 20.0 software where P < 0.05 denoted significance. Twenty-seven patients were enrolled patients and completed 1 cycle, and 14 (51.9%) and 4 (14.8%) patients completed 2 and 3 cycles, respectively. ORR was 63% (14: complete remission [CR]/CR with incomplete hematologic recovery [CRi], 3: partial remission (PR), 10: no response [NR]). Median OS (mOS) and EFS were 9.7 and 9.2 months, respectively. With a median follow-up of 8.2 months (1.1-26.9), the mOS was not reached in responders (CR/CRi/PR) while it was 2.4 months (0.0-5.4) in nonresponders (P = 0.002). Grade 2-3 immune-related adverse events (irAEs) were observed in 4 (14.8%) patients and 3 nonresponders died of lung infection after treatment. Tislelizumab + HMA + CAG regimen showed improved outcomes in r/r AML patients with lower pretherapy leukemia burden. irAEs were mild and low-grade and higher pretherapy bone marrow CD4<sup>+</sup> CD127<sup>+</sup> PD-1<sup>+</sup> T cells might serve as a predictor of treatment response.ClinicalTrials.gov identifier NCT04541277.","Clinical Trial, Phase II, Journal Article","Antineoplastic Combined Chemotherapy Protocols, Aclarubicin, Decitabine, Humans, Granulocyte Colony-Stimulating Factor, Leukemia, Myeloid, Acute, Cytarabine, Treatment Outcome, Immune Checkpoint Inhibitors"
35816664,Eprenetapopt Plus Azacitidine After Allogeneic Hematopoietic Stem-Cell Transplantation for <i>TP53</i>-Mutant Acute Myeloid Leukemia and Myelodysplastic Syndromes.,"Mishra Asmita, Tamari Roni, DeZern Amy E, Byrne Michael T, Gooptu Mahasweta, Chen Yi-Bin, Deeg H Joachim, Sallman David, Gallacher Phillip, Wennborg Anders, Hickman Denice K, Attar Eyal C, Fernandez Hugo F",Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"{'Year': '2022', 'Month': 'Dec', 'Day': '01'}","Outcomes are poor in <i>TP53</i>-mutant (m<i>TP53</i>) acute myeloid leukemia (AML) and myelodysplastic syndromes (MDS), even after allogeneic hematopoietic stem-cell transplant (HCT). Eprenetapopt (APR-246) is a first-in-class, small-molecule p53 reactivator.","Multicenter Study, Journal Article, Research Support, Non-U.S. Gov't","Humans, Aged, Azacitidine, Tumor Suppressor Protein p53, Myelodysplastic Syndromes, Leukemia, Myeloid, Acute, Hematopoietic Stem Cell Transplantation, Graft vs Host Disease, Antineoplastic Agents, Recurrence"
37710306,"Feasibility of pevonedistat combined with azacitidine, fludarabine, cytarabine in pediatric relapsed/refractory AML: Results from COG ADVL1712.","Tarlock Katherine, Liu Xiaowei, Minard Charles G, Isikwei Emasenyie A, Reid Joel M, Horton Terzah M, Fox Elizabeth, Weigel Brenda J, Cooper Todd",Pediatric blood & cancer,"{'Year': '2023', 'Month': 'Dec'}","Outcomes for children with relapsed/refractory (R/R) acute myeloid leukemia (AML) and myelodysplastic syndrome (MDS) are poor, and new therapies are needed. Pevonedistat is an inhibitor of the NEDD-8 activating enzyme, a key regulator of the ubiquitin proteasome system that is responsible for protein turnover, with protein degradation regulating cell growth and survival.","Clinical Trial, Phase I, Journal Article","Adolescent, Adult, Child, Child, Preschool, Humans, Infant, Young Adult, Antineoplastic Combined Chemotherapy Protocols, Azacitidine, Chronic Disease, Cyclopentanes, Cytarabine, Feasibility Studies, Leukemia, Myeloid, Acute, Myelodysplastic Syndromes, Pyrimidines, Vidarabine"
38447622,Music Listening in Stem Cell Transplantation and Acute Myeloid Leukemia: A Randomized Clinical Trial.,"Lázaro-García Alberto, Láinez-González Daniel, González-Rodríguez Marta, Cano Alsua Santiago, Suárez M Edwin Uriel, Solán-Blanco Laura, Cornago-Navascués Javier, López-Lorenzo José Luis, Llamas-Sillero Pilar, Alonso-Domínguez Juan Manuel",Journal of pain and symptom management,"{'Year': '2024', 'Month': 'Jun'}","Music listening (ML) has been shown to have a beneficial effect on patients with cancer. However, novel intervention approaches are needed.","Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't","Humans, Leukemia, Myeloid, Acute, Male, Female, Middle Aged, Quality of Life, Anxiety, Music Therapy, Adult, Depression, Stem Cell Transplantation, Treatment Outcome, Aged"
34889407,Whom should we treat with novel agents? Specific indications for specific and challenging populations.,"Wilde Lindsay, Kasner Margaret",Hematology. American Society of Hematology. Education Program,"{'Year': '2021', 'Month': 'Dec', 'Day': '10'}","A relative wealth of new therapies for acute myeloid leukemia (AML) have led to a rapid shift in treatment paradigms for this disease. Understanding whom, when, and how to treat is more complex than ever before. Here we explore whom to treat with these available new therapies, focusing on special patient populations that include older adults, those with relapsed disease, and those with TP53-mutated AML. These high-risk subgroups are some of the most challenging to care for, but novel treatments are providing them with new hope.","Case Reports, Journal Article","Aged, Aged, 80 and over, Antineoplastic Combined Chemotherapy Protocols, Azacitidine, Bridged Bicyclo Compounds, Heterocyclic, Clinical Trials as Topic, Female, Humans, Leukemia, Myeloid, Acute, Male, Prognosis, Sulfonamides"
37563608,Exploring the safety and efficacy of phytomedicine Petiveria alliacea extract (Esperanza) in patients with metastatic gastrointestinal tumors and acute leukemias: study protocol for a phase Ib/randomized double blind phase II trial (PA001).,"Ballesteros-Ramírez Ricardo, Pinilla Paola, Sanchéz Jesús, Arévalo Mónica, Sanchez Elio, Aschner Pablo, Urueña Claudia, Fiorentino Susana",BMC complementary medicine and therapies,"{'Year': '2023', 'Month': 'Aug', 'Day': '10'}","The energy metabolism of drug-resistant tumor cells can provide a survival advantage during therapy, and treatment itself may influence metabolic reprogramming. Petiveria alliacea (Traditional name: Anamu) could inhibit glycolysis and OXPHOX modulating tumor metabolism, making it a potential treatment for tumors with altered metabolism. This clinical study aims to evaluate the safety and efficacy of a standardized Anamu phytomedicine called Esperanza in treating gastric tumors and acute leukemias.","Clinical Trial Protocol, Journal Article","United States, Humans, Stomach Neoplasms, Prospective Studies, Quality of Life, Leukemia, Phytolaccaceae, Randomized Controlled Trials as Topic, Clinical Trials, Phase I as Topic, Clinical Trials, Phase II as Topic"
38473278,CPX-351 Pharmacokinetics and Safety in Adults with Hematologic Malignancies and Renal Function Impairment: Phase 1 Trial.,"Solomon Scott R, Powell Bayard L, Koprivnikar Jamie, Lai Catherine, Male Heather, Michaelis Laura C, Newell Laura F, Sanford David, Jenkins Jack, Zelaya Amy, Coppola Sheryl, Faderl Stefan, Walter Roland B",Cancers,"{'Year': '2024', 'Month': 'Feb', 'Day': '24'}","This open-label phase 1 study (clinicaltrials.gov, NCT03555955) assessed CPX-351 pharmacokinetics (PK) and safety in patients with hematologic malignancies with normal or impaired renal function. Patients were enrolled into three cohorts based on their creatinine clearance (CrCl): ≥90 mL/min (Cohort 1, normal renal function, <i>n</i> = 7), 30 to <59 mL/min (Cohort 2, moderate renal impairment, <i>n</i> = 8), or <30 mL/min (Cohort 3, severe renal impairment, <i>n</i> = 6). Patients received intravenous CPX-351 for initial induction; blood and urine samples were collected for PK analysis. The primary objective was to assess the PK parameters for cytarabine, daunorubicin, and their respective metabolites, arabinosyluracil (Ara-U) and daunorubicinol. Renal impairment did not significantly impact the cytarabine, daunorubicin, or daunorubicinol exposure, but it caused a slight increase in the Ara-U exposure. The CPX-351 side effect profile was similar in patients with impaired renal function compared to those with normal renal function. All the patients reported ≥1 treatment-emergent adverse event (TEAE), most commonly febrile neutropenia and nausea (57% each) and hyperglycemia (43%); no patients discontinued treatment due to TEAEs. These data suggest that CPX-351 dose adjustment is not required for patients with hematologic malignancies with moderate or severe renal impairment.",Journal Article,
35451199,Sulforaphane is Synergistic with CB-5083 and Inhibits Colony Formation of CB-5083-Resistant HCT116 Cells.,"Wang Feng, Li Shan, Rosencrans William M, Cheng Kai-Wen, Stott Gordon M, Mroczkowski Barbara, Chou Tsui-Fen",ChemMedChem,"{'Year': '2022', 'Month': 'Jun', 'Day': '03'}","Human p97 is a potential drug target in oncology. Mutation-driven drug resistance is an obstacle to the long-term efficacy of targeted therapy. We found that the ATPase activity for one of the CB-5083-resistant p97 mutants was reduced, which also attenuated the degradation of K48 ubiquitinated proteins in cells. To understand how p97 mutant cells with significantly reduced ATPase activity can still grow, we discovered reduced levels of CHOP and NF-κB activation in the p97 mutant cells and these cellular changes can potentially protect HCT116 cells from death due to lowered p97 activity. In addition, the NF-kB inhibitor Sulforaphane reduces proliferation of CB-5083 resistant cells and acts synergistically with CB-5083 to block proliferation of the parental HCT116 cells. The combination of Sulforaphane and CB-5083 may be a useful treatment strategy to combat CB-5083 resistance.","Journal Article, Research Support, N.I.H., Extramural","Adenosine Triphosphatases, HCT116 Cells, Humans, Indoles, Isothiocyanates, Pyrimidines, Sulfoxides, Valosin Containing Protein"
39561281,Nanobody-based naturally selected CD7-targeted CAR-T therapy for acute myeloid leukemia.,"Lu Peihua, Zhang Xian, Yang Junfang, Li Jingjing, Qiu Liyuan, Gong Meiwei, Wang Hui, Chen Jiaqi, Liu Hongxing, Xiong Min, Liu Ying, Wang Lin",Blood,"{'Year': '2025', 'Month': 'Mar', 'Day': '06'}","Approximately 30% of patients with acute myeloid leukemia (AML) express CD7 on their myeloblasts. We have previously demonstrated that single-chain variable fragment (scFv)-based ""naturally selected"" CD7 chimeric antigen receptor T-cell (NS7CAR-T) therapy shows significant efficacy, with a favorable safety profile in T-cell lymphoid malignancies. Here, we derived dual variable heavy-chain domain of a heavy-chain antibody (dVHH) NS7CAR-Ts that have superior CD7 binding specificity, affinity to their scFv-based counterparts, and improved proliferative capability. In this phase 1 clinical trial, we evaluated the efficacy and safety of nanobody-based dVHH NS7CAR-Ts for patients with CD7+ refractory/relapsed AML. A cohort of 10 patients received dVHH NS7CAR-Ts across 2 dosage levels of 5 × 105/kg and 1 × 106/kg. Before enrollment, patients had undergone a median of 8 (range, 3-17) prior lines of therapy. Seven patients had prior transplants. After NS7CAR-T infusion, 7 of 10 (70%) patients achieved complete remission (CR). The median observation time was 178 days (range, 28-776). Among 7 patients who achieved CR, 3 who relapsed from prior transplants underwent a second allogeneic hematopoietic stem cell transplant (allo-HSCT). One patient remained leukemia free on day 401, and the other 2 died on day 241 and day 776, respectively, from nonrelapse-related causes. Three CR patients without consolidative (allo-HSCT) relapsed within 90 days. All the nonresponders and relapsed patients had CD7 loss. The treatment was well tolerated, with 80% experiencing mild cytokine release syndrome and none had neurotoxicity. This trial underscores the potential promising treatment of dVHH NS7CAR-Ts in providing clinical benefits with a manageable safety profile to patients with CD7+ AML, warranting further investigation. This trial was registered at www.clinicaltrials.gov as #NCT04938115.","Journal Article, Clinical Trial, Phase I","Humans, Middle Aged, Male, Female, Leukemia, Myeloid, Acute, Antigens, CD7, Immunotherapy, Adoptive, Adult, Single-Domain Antibodies, Aged, Receptors, Chimeric Antigen"
39576962,Itacitinib for prevention of graft-versus-host disease and cytokine release syndrome in haploidentical transplantation.,"Abboud Ramzi, Schroeder Mark A, Rettig Michael P, Jayasinghe Reyka G, Gao Feng, Eisele Jeremy, Gehrs Leah, Ritchey Julie, Choi Jaebok, Abboud Camille N, Pusic Iskra, Jacoby Meagan, Westervelt Peter, Christopher Matthew, Cashen Amanda, Ghobadi Armin, Stockerl-Goldstein Keith, Uy Geoffrey L, DiPersio John F",Blood,"{'Year': '2025', 'Month': 'Mar', 'Day': '27'}","Haploidentical hematopoietic cell transplantation (haplo-HCT) is an increasingly used treatment for hematologic malignancies. Although posttransplant cyclophosphamide (PtCy) has improved graft-versus-host disease (GVHD) prophylaxis in haplo-HCT, patients continue to experience life-threatening complications. Interferon gamma and interleukin-6 are central in the pathophysiology of GVHD and cytokine release syndrome (CRS), and both cytokines signal through Janus kinase 1 (JAK-1). We tested the effect of adding the JAK-1 selective inhibitor, itacitinib, to PtCy-haplo-HCT to mitigate these complications and improve overall survival (OS). This open-label, single-arm study evaluated the safety and efficacy of itacitinib combined with standard GVHD prophylaxis after haplo-HCT. A total of 42 patients were treated with itacitinib 200 mg daily from day -3 through +100 or +180, followed by a taper. Itacitinib resulted in low CRS grades, all patients had grade 0 (22%) or grade 1 (78%) CRS and there were no cases of grade 2 to 5 CRS. There were no cases of primary graft failure. No patients developed grade 3 to 4 acute GVHD (aGVHD) through day +180. The cumulative incidence of grade 2 aGVHD at day +100 was 21.9%. The 1-year cumulative incidence of moderate or severe chronic GVHD was 5%. The cumulative incidence of relapse at 2 years was 14%. OS at 1 year was 80%. The cumulative incidence of nonrelapse mortality (NRM) at day 180 was 8%. Itacitinib, when added to standard GVHD prophylaxis, was well tolerated and resulted in low rates of CRS, acute and chronic GVHD, and NRM, and encouraging rates of GVHD-free relapse-free survival and OS after haplo-HCT. This trial was registered at www.ClinicalTrials.gov as #NCT03755414.",Journal Article,"Humans, Graft vs Host Disease, Middle Aged, Female, Male, Adult, Hematopoietic Stem Cell Transplantation, Cytokine Release Syndrome, Aged, Transplantation, Haploidentical, Hematologic Neoplasms, Young Adult, Pyrimidines"
32775492,The Art and Science of Selecting a CD123-Specific Chimeric Antigen Receptor for Clinical Testing.,"Riberdy Janice M, Zhou Sheng, Zheng Fei, Kim Young-In, Moore Jennifer, Vaidya Abishek, Throm Robert E, Sykes April, Sahr Natasha, Bonifant Challice L, Ryu Byoung, Gottschalk Stephen, Velasquez Mireya Paulina",Molecular therapy. Methods & clinical development,"{'Year': '2020', 'Month': 'Sep', 'Day': '11'}","Chimeric antigen receptor (CAR) T cells targeting CD123, an acute myeloid leukemia (AML) antigen, hold the promise of improving outcomes for patients with refractory/recurrent disease. We generated five lentiviral vectors encoding CD20, which may serve as a target for CAR T cell depletion, and 2<sup>nd</sup> or 3<sup>rd</sup> generation CD123-CARs since the benefit of two costimulatory domains is model dependent. Four CARs were based on the CD123-specific single-chain variable fragment (scFv) 26292 (292) and one CAR on the CD123-specific scFv 26716 (716), respectively. We designed CARs with different hinge/transmembrane (H/TM) domains and costimulatory domains, in combination with the zeta (z) signaling domain: 292.CD8aH/TM.41BBz (8.41BBz), 292.CD8aH/TM.CD28z (8.28z), 716.CD8aH/TM.CD28z (716.8.28z), 292.CD28H/TM. CD28z (28.28z), and 292.CD28H/TM.CD28.41BBz (28.28.41BBz). Transduction efficiency, expansion, phenotype, and target cell recognition of the generated CD123-CAR T cells did not significantly differ. CAR constructs were eliminated for the following reasons: (1) 8.41BBz CARs induced significant baseline signaling, (2) 716.8.28z CAR T cells had decreased anti-AML activity, and (3) CD28.41BBz CAR T cells had no improved effector function in comparison to CD28z CAR T cells. We selected the 28.28z CAR since CAR expression on the cell surface of transduced T cells was higher in comparison to 8.28z CARs. The clinical study (NCT04318678) evaluating 28.28z CAR T cells is now open for patient accrual.",Journal Article,
37899297,"Sorafenib plus triplet therapy with venetoclax, azacitidine and homoharringtonine for refractory/relapsed acute myeloid leukemia with FLT3-ITD: A multicenter phase 2 study.","Yu Sijian, Zhang Yu, Yu Guopan, Wang Yu, Shao Ruoyang, Du Xin, Xu Na, Lin Dongjun, Zhao Weihua, Zhang Xiong, Xiao Jie, Sun Zhiqiang, Deng Lan, Liang Xinquan, Zhang Hongyu, Guo Ziwen, Dai Min, Shi Pengcheng, Huang Fen, Fan Zhiping, Liu Qiong, Lin Ren, Jiang Xuejie, Xuan Li, Liu Qifa, Jin Hua",Journal of internal medicine,"{'Year': '2024', 'Month': 'Feb'}",Patients with relapsed or refractory acute myeloid leukemia (R/R AML) and FLT3-internal tandem duplication (FLT3-ITD) respond infrequently to salvage chemotherapy.,"Multicenter Study, Clinical Trial, Phase II, Journal Article, Research Support, Non-U.S. Gov't","Humans, Azacitidine, Bridged Bicyclo Compounds, Heterocyclic, fms-Like Tyrosine Kinase 3, Homoharringtonine, Leukemia, Myeloid, Acute, Pathologic Complete Response, Sorafenib, Sulfonamides, Adolescent, Young Adult, Adult, Middle Aged, Aged"
37120593,"Venetoclax Combined with Azacitidine and Homoharringtonine in Relapsed/Refractory AML: A Multicenter, Phase 2 Trial.","Jin Hua, Zhang Yu, Yu Sijian, Du Xin, Xu Na, Shao Ruoyang, Lin Dongjun, Chen Yanqiu, Xiao Jie, Sun Zhiqiang, Deng Lan, Liang Xinquan, Zhang Hongyu, Guo Ziwen, Dai Min, Shi Pengcheng, Huang Fen, Fan Zhiping, Yin Zhao, Xuan Li, Lin Ren, Jiang Xuejie, Yu Guopan, Liu Qifa",Journal of hematology & oncology,"{'Year': '2023', 'Month': 'Apr', 'Day': '29'}",Relapsed or refractory acute myeloid leukemia (R/R AML) has a dismal prognosis. The aim of this study was to investigate the activity and tolerability of venetoclax combined with azacitidine plus homoharringtonine (VAH) regimen for R/R AML.,"Clinical Trial, Phase II, Multicenter Study, Journal Article, Research Support, Non-U.S. Gov't","Humans, Azacitidine, Homoharringtonine, Leukemia, Myeloid, Acute, Bridged Bicyclo Compounds, Heterocyclic, Antineoplastic Combined Chemotherapy Protocols"
