NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Age,Phases,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date
NCT06420063,Sequential CAR-T Cells Targeting CD33/CD123 in Patients With Acute Myelocytic Leukemia AML,https://clinicaltrials.gov/study/NCT06420063,RECRUITING,"This is an open, single-arm, clinical study to evaluate the efficacy and safety of chimeric antigen receptor T cell immunotherapy (CAR-T) targeting CD33 or CD123 or both sequentially in the treatment of Acute Myelocytic Leukemia.",NO,"AML|Acute Myeloid Leukemia|AML, Adult Recurrent|AML, Adult",BIOLOGICAL: CD123/CD33 CART,"Incidence and severity of dose-limiting toxicities (DLTs) following chemotherapy preparative regimen and infusion of CD5/CD7 chimeric antigen receptor (CAR) T cells, Will be recorded and graded according to the Common Terminology Criteria for Adverse Events (CTCAE) version 4.03 at three dose levels until the maximum tolerated dose (MTD) is determined., 28 days","Rate of successful manufacture and expansion of the CD33/123 chimeric antigen receptor (CAR) T cells, satisfy the targeted dose level and meet the required release specifications outlined in the Certificate of Analysis (COA), 10-14 days",,Essen Biotech,,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-07-10,2025-12-10,2026-12-28
NCT06475820,"Preventing of GVHD With Post-transplantation Cyclophosphamide, Abatacept, Vedolizumab and Baricitinib at Children and Young Adults With Hemoblastosis",https://clinicaltrials.gov/study/NCT06475820,ACTIVE_NOT_RECRUITING,"GVHD prevention using a combination of post-transplantation cyclophosphamide in combination with abatacept, vedolizumab and and Baricitinib in children and young adults with hematoloblastosis after myeloablative conditioning regimen with treosulfan/TBI, cyclophosphamide/etoposide, fludarabine after HSCT from matched unrelated and haploidentical donors",NO,Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia|Biphenotypic Acute Leukemia|Malignant Lymphoma|Myelodysplastic Syndromes,DRUG: Baricitinib,"Estimate the probability of developing acute GVHD stage II-IV after HSCT, 100 days after HSCT|side effects of conditioning, Explore the safety based on an assessment of the frequency of occurrence of:

- severe (3-5 degrees) side effects of conditioning during 1 month, 100 days after HSCT|transplant-associated mortality, 100 days after HSCT","cumulative probability of relapse, Probability of developing a relapse of the primary disease, transplantation-associated mortality on the horizon of 100 days, after HSCT by day + 100|cumulative probability of relapse, Probability of developing a relapse of the primary disease, transplantation-associated mortality on the horizon up to 2 years, up to 2 years after HSCT|event-free survival, after HSCT by day + 100|event-free survival, up to 2 years after HSCT|Probability of engraftment of leukocyte, cumulative Probability of engraftment of leukocyte of donor origin, after HSCT by day + 100|Probability of engraftment of platelet, cumulative Probability of engraftment of platelet, after HSCT by day + 100|Probability of reactivation of CMV, cumulative Probability of reactivation CMV, 12 months after HSCT|Probability of reactivation of EBV, cumulative Probability of reactivation EBV, 12 months after HSCT|Probability of reactivation of AdV, cumulative Probability of reactivation ADV, 12 months after HSCT|Probability of reactivation BK, cumulative Probability of reactivation BK, 12 months after HSCT",,"Federal Research Institute of Pediatric Hematology, Oncology and Immunology",,"CHILD, ADULT",PHASE2|PHASE3,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-12-01,2024-07-01,2027-04-01
NCT03813147,"Pevonedistat, Azacitidine, Fludarabine Phosphate, and Cytarabine in Treating Patients With Relapsed or Refractory Acute Myeloid Leukemia or Myelodysplastic Syndrome",https://clinicaltrials.gov/study/NCT03813147,COMPLETED,"This phase I trial studies the side effects and how well pevonedistat, azacitidine, fludarabine phosphate, and cytarabine work in treating patients with acute myeloid leukemia or myelodysplastic syndrome that has come back (relapsed) or has not responded to treatment (refractory). Pevonedistat may stop the growth of cancer cells by blocking some of the enzymes needed for cell growth. Chemotherapy drugs, such as azacitidine, fludarabine phosphate, and cytarabine, work in different ways to stop the growth of cancer cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Giving more than one drug (combination chemotherapy) and pevonedistat may work better in treating patients with acute myeloid leukemia or myelodysplastic syndrome.",YES,Acute Myeloid Leukemia Arising From Previous Myelodysplastic Syndrome|Recurrent Acute Myeloid Leukemia|Recurrent Myelodysplastic Syndrome|Refractory Acute Myeloid Leukemia|Refractory Myelodysplastic Syndrome,DRUG: Azacitidine|DRUG: Cytarabine|DRUG: Fludarabine Phosphate|DRUG: Methotrexate|DRUG: Pevonedistat|DRUG: Therapeutic Hydrocortisone,"Number of Participants With Dose Limiting Toxicities of MLN4924 (Pevonedistat), Frequency of patients with dose limiting toxicity in the first cycle of MLN4924 (pevonedistat) added to the 3-drug backbone of azacitidine (aza), fludarabine, and cytarabine re-induction for pediatric patients with recurrent/refractory AML and MDS by dose level among patients in the dose escalation cohort., Up to 35 days|Number of Participants With Adverse Events Attributable to MLN4924 (Pevonedistat), Frequency of patients with at least one grade 3 adverse event at least possibly attributable to MLN4924 (pevonedistat) added to the 3-drug backbone of azacitidine (aza), fludarabine, and cytarabine re-induction for pediatric patients with recurrent/refractory AML and MDS by dose level., Up to 70 days|Area Under the Plasma Concentration Versus Time Curve of MLN4924 (Pevonedistat) Added to the 3-drug Backbone of Azacitidine (Aza), Fludarabine, and Cytarabine Re-induction for Pediatric Patients With Recurrent/Refractory AML and MDS, Median (Range) of the area under the plasma concentration versus time curve of MLN4924 (pevonedistat) added to the 3-drug backbone of azacitidine (aza), fludarabine, and cytarabine re-induction for pediatric patients with recurrent/refractory AML and MDS by dose level measured pre-dose, end of infusion, 4-6 hours, and 24 hours post-dose infusion on Days 1 and 5., Up to 5 days|Total Plasma Clearance of MLN4924 (Pevonedistat) Added to the 3-drug Backbone of Azacitidine (Aza), Fludarabine, and Cytarabine Re-induction for Pediatric Patients With Recurrent/Refractory AML and MDS, Median (Range) of the total plasma clearance of MLN4924 (pevonedistat) added to the 3-drug backbone of azacitidine (aza), fludarabine, and cytarabine re-induction for pediatric patients with recurrent/refractory AML and MDS by dose level measured pre-dose, end of infusion, 4-6 hours, and 24 hours post-dose infusion on Days 1 and 5., Up to 5 days|Elimination Half-life of MLN4924 (Pevonedistat) Added to the 3-drug Backbone of Azacitidine (Aza), Fludarabine, and Cytarabine Re-induction for Pediatric Patients With Recurrent/Refractory AML and MDS, Median (Range) of the elimination half-life of MLN4924 (pevonedistat) added to the 3-drug backbone of azacitidine (aza), fludarabine, and cytarabine re-induction for pediatric patients with recurrent/refractory AML and MDS by dose level measured pre-dose, end of infusion, 4-6 hours, and 24 hours post-dose infusion on Days 1 and 5., Up to 5 days|Maximum Concentration of MLN4924 (Pevonedistat) Added to the 3-drug Backbone of Azacitidine (Aza), Fludarabine, and Cytarabine Re-induction for Pediatric Patients With Recurrent/Refractory AML and MDS, Median (Range) of the maximum concentration of MLN4924 (pevonedistat) added to the 3-drug backbone of azacitidine (aza), fludarabine, and cytarabine re-induction for pediatric patients with recurrent/refractory AML and MDS by dose level measured pre-dose, end of infusion, 4-6 hours, and 24 hours post-dose infusion on Days 1 and 5., Up to 5 days|Maximum Time to Concentration of MLN4924 (Pevonedistat) Added to the 3-drug Backbone of Azacitidine (Aza), Fludarabine, and Cytarabine Re-induction for Pediatric Patients With Recurrent/Refractory AML and MDS, Median (Range) of the maximum time to concentration of MLN4924 (pevonedistat) added to the 3-drug backbone of azacitidine (aza), fludarabine, and cytarabine re-induction for pediatric patients with recurrent/refractory AML and MDS by dose level measured pre-dose, end of infusion, 4-6 hours, and 24 hours post-dose infusion on Days 1 and 5., Up to 5 days","Number of Participants With Antitumor Activity of MLN4924 (Pevonedistat), Frequency of participants with best overall response by dose level of PR or CR for MLN4924 (pevonedistat) added to the 3-drug backbone of azacitidine (aza), fludarabine, and cytarabine re-induction Per Response Evaluation Criteria for CR (M1 bone marrow (\< 5% blasts) with no evidence of circulating blasts or extramedullary disease and with recovery of peripheral blood counts (ANC \> 1000/uL and platelet count \> 100,000/uL), CRp (M1 bone marrow (\< 5% blasts) and no evidence of circulating blasts or extramedullary disease and with recovery of ANC \> 1000/uL and platelet transfusion independence), CRi (M1 bone marrow (\<5% blasts) and no evidence of circulating blasts or extramedullary disease and with ANC \< 1000/uL or platelet count \< 100,000/uL without platelet transfusion independence), or PR (M2 marrow status (\> 5% or \< 25% blasts cells) and at least 50% decrease in bone marrow blast percent from baseline., Up to 1 year","Messenger Ribonucleic Acid (mRNA) Transcript Levels of MLN4924 (Pevonedistat) Added to the 3-drug Backbone of Azacitidine (Aza), Fludarabine, and Cytarabine Re-induction for Pediatric Patients With Recurrent/Refractory AML and MDS, Median (IQR) transcript levels of MLN4924 (pevonedistat) added to the 3-drug backbone of azacitidine (aza), fludarabine, and cytarabine re-induction for pediatric patients with recurrent/refractory AML and MDS by dose level., Up to 5 days",National Cancer Institute (NCI),Children's Oncology Group,"CHILD, ADULT",PHASE1,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-05-17,2021-09-30,2023-12-31
NCT03494569,"Total Marrow and Lymphoid Irradiation, Fludarabine, and Melphalan Before Donor Stem Cell Transplant in Treating Participants With High-Risk Acute Leukemia or Myelodysplastic Syndrome",https://clinicaltrials.gov/study/NCT03494569,RECRUITING,"This phase I studies the side effects and best dose of total marrow and lymphoid irradiation when given together with fludarabine and melphalan before donor stem cell transplant in treating participants with high-risk acute leukemia or myelodysplastic syndrome. Giving chemotherapy, such as fludarabine and melphalan, and total marrow and lymphoid irradiation before a donor stem cell transplant helps stop the growth of cells in the bone marrow, including normal blood-forming cells (stem cells) and cancer cells. When the healthy stem cells from a donor are infused into the patient they may help the patient's bone marrow make stem cells, red blood cells, white blood cells, and platelets.",NO,Acute Lymphoblastic Leukemia|Acute Lymphoblastic Leukemia in Remission|Acute Myeloid Leukemia|Acute Myeloid Leukemia in Remission|Hematopoietic Cell Transplantation Recipient|Minimal Residual Disease|Myelodysplastic Syndrome|Secondary Acute Myeloid Leukemia,DRUG: Fludarabine|OTHER: Laboratory Biomarker Analysis|DRUG: Melphalan|RADIATION: Total Marrow Irradiation,"Incidence of toxicity, Toxicity will be scored on both the Bearman scale and National Cancer Institute Common Terminology Criteria for Adverse Events (CTCAE) version 5 scale. Toxicity information recorded in each patient will include the type, severity, and the probable association with the study regimen. Tables will be constructed to summarize the observed incidence by severity and type of toxicity, and dose levels in each arm., Up to 2 years","Overall survival, Participants are considered a failure for this endpoint if they die, regardless of cause. Survival estimates will be calculated using the Kaplan-Meier method., From start of protocol therapy up to 2 years|Event-free survival, Participants are considered a failure for this endpoint if they relapse/progress or die, regardless of cause. Survival estimates will be calculated using the Kaplan-Meier method., From start of protocol therapy up to 2 years|Relapse/progression, Death without relapse/progression is considered a competing risk., From start of protocol therapy up to 2 years|Complete remission proportion, At day 30|Non-relapse mortality, Participants are considered a failure for this endpoint if they die from causes other than disease relapse or progression., Up to 2 years|Incidence of infection, Microbiologically documented infections will be reported by site of disease, date of onset, severity and resolution, if any. These data will be captured via case report form., Up to day 100 post-transplant|Incidence of toxicities/adverse events (AEs), Toxicities that meet grade 3, 4, or 5 per the Bearman scale and CTCAE v 4.03 from day -9 to day -1, from day 0 to day +30, and again from day +31 to +100 post-transplant will be collected. Any AEs occurring from day -9 to day +30 will be followed until they resolve. Start and stop dates will also be recorded for any grade 4 neutropenia., Up to 100 days post-transplant|Neutrophil recovery, This will be measured from stem cell infusion to the first to three consecutive days with neutrophil count greater than 0.5 x 10\^9/l., Up to 2 years|Acute graft versus host disease of grades 2-4 and 3-4, Documented/biopsy proven acute graft versus host disease is graded according to National Institutes of Health (NIH) consensus staging. This measurement will be used to estimate the cumulative incidence., Up to 100 days post-transplant|Chronic graft versus host disease, This will be scored according to NIH consensus staging and will be used to estimate the cumulative incidence., Up to 2 years|CD4+, CD8+ and CD56+16+, Immunophenotyping of lymphocyte subsets will be determined by flow cytometry., Up to 2 years|Bone marrow (BM) residual damage, BM cellularity will be assessed using histology and clonogenic in vitro assays., Up to 2 years|Immune reconstitution, This will be monitored by flow cytometry analysis of peripheral blood mononuclear cells., Up to 2 years",,City of Hope Medical Center,National Cancer Institute (NCI),"CHILD, ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2018-07-06,2025-10-11,2025-10-11
NCT03633955,Pilot Imaging Study of Leukemia,https://clinicaltrials.gov/study/NCT03633955,RECRUITING,"This is a prospective pilot study, the primary aim of which is to determine whether the presence of 18F FLT imaging signal uptake abnormalities correlate with clinically validated evidence of hematopoietic malignant disease (e.g. MRD, molecular, flow or histology) after immunotherapy and other treatments.",NO,Acute Lymphocytic Leukemia|Acute Myeloid Leukemia|Ambiguous Lineage Leukemia or Lymphoma|Myeloma,DRUG: FLT,"Proportion of 18F FLT signal uptake abnormalities with clinical pathology reports for determining the evidence of hematopoietic disease., A proportion of patients will undergo 18F FLT imaging before and after immunotherapy or standard therapy for hematopoietic malignant disease. To detect changes in the progression of hematopoietic disease 18F FLT image scans collected pre-treatment (baseline) and post-treatment (follow-up) of patient visit at OUHSC will be compared with clinically validated evidence of hematopoietic malignant disease collected using MRD, molecular, flow and histology techniques., day -7 to 10 days pre-treatment and +28 (+/- 3 days) post-treatment|A proportion of 18F FLT uptake in a standard region of interest in marrow to objectively identify disease status in patient with hematopoietic cancers., For proportion of patient the analyses will be compared between two Arms of disease cohort. Arm A to include patients who received immunotherapy (immunotherapy protocol co-enrollment or other immunotherapy), and Arm B: those who received other non-immune therapies to treat their cancers (excludes HSCT). For marrow disease, the intra-medullary pattern and standard unit of uptake (SUV) will be compared pre- and post-treatment between patients in remission clinically versus those with greater disease burden, to determine if 18F FLT uptake correlates with identified clinical relapse., day -7 to 10 days pre-treatment and +28 (+/- 3 days) post-treatment|Mean differences of 18F FLT uptake to determine extramedullary disease., For proportion of patient undergoing 18F FLT scan, the extramedullary disease will be identified by comparing the SUV and size of lesions pre- and post-treatment. The comparisons will be done in two arms of disease cohort Arm A, i.e., to include patients who received immunotherapy (immunotherapy protocol co-enrollment or other immunotherapy), and Arm B: those who received other non-immune therapies to treat their cancers (excludes HSCT)., day -7 to 10 days pre-treatment and +28 (+/- 3 days) post-treatment",,,University of Oklahoma,Emory University,"CHILD, ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: DIAGNOSTIC,2023-01-19,2026-03,2028-04
NCT04726241,The Pediatric Acute Leukemia (PedAL) Screening Trial - A Study to Test Bone Marrow and Blood in Children With Leukemia That Has Come Back After Treatment or Is Difficult to Treat - A Leukemia & Lymphoma Society and Children's Oncology Group Study,https://clinicaltrials.gov/study/NCT04726241,RECRUITING,"This study aims to use clinical and biological characteristics of acute leukemias to screen for patient eligibility for available pediatric leukemia sub-trials. Testing bone marrow and blood from patients with leukemia that has come back after treatment or is difficult to treat may provide information about the patient's leukemia that is important when deciding how to best treat it, and may help doctors find better ways to diagnose and treat leukemia in children, adolescents, and young adults.",NO,Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia|Acute Myeloid Leukemia Post Cytotoxic Therapy|Juvenile Myelomonocytic Leukemia|Mixed Phenotype Acute Leukemia|Myelodysplastic Syndrome|Myelodysplastic Syndrome Post Cytotoxic Therapy|Myeloid Leukemia Associated With Down Syndrome,PROCEDURE: Biospecimen Collection,"Proportion of patients with identification of a priori specified genomic and immunophenotypic targets who enroll on a sub-trial, The proportion will be calculated as the percent of eligible patients who are identified to have an a priori specified genomic or immunophenotypic target and who enroll on at least one of the sub-trials. The corresponding confidence interval will be constructed., Up to 5 years|Maintain a longitudinal and comprehensive registry, as well as specimen bank of children and young adults with acute leukemias, Up to 5 years",,,"LLS PedAL Initiative, LLC",Children's Oncology Group|National Cancer Institute (NCI),"CHILD, ADULT",PHASE1|PHASE2,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SCREENING,2022-04-18,2026-12-31,2026-12-31
NCT06345027,Chimeric Antigen Receptor Treatment Targeting CD70 (SEVENTY),https://clinicaltrials.gov/study/NCT06345027,NOT_YET_RECRUITING,"This study is for patients that have lymph gland disease called Hodgkin or non-Hodgkin Lymphoma or T/NK-lymphoproliferative disease and the patients condition has come back or has not gone away after treatment, including the best treatment we know for these diseases.

Some patients with Lymphoma or T/NK-lymphoproliferative disease show signs of virus that is sometimes called Epstein Barr virus (EBV). This virus causes mononucleosis or glandular fever (""mono"") before or at the time of their diagnosis. EBV is found in the cancer cells of up to half the patients with Hodgkin's and non-Hodgkin Lymphoma. This suggests that the EBV plays a role in causing Lymphoma. The cancer cells (in lymphoma) and some immune system cells infected by EBV are able to hide from the body's immune system and escape destruction.

T cells, also called T lymphocytes, are special infection-fighting blood cells that can kill other cells, including cells infected with viruses and tumor cells. T cells have been used to treat patients with cancers. T cells, that have been trained to kill EBV infected cells can survive in blood and affect the tumor. We have treated over 80 people on studies using T cells to target these diseases. About half of those patients who had disease at the time they got the cells had responses including some patients with complete responses (meaning the cancer could no longer be detected).

We think that if T cells are able to last longer in the body, they may have a better chance of killing EBV and EBV infected tumor cells. Therefore, in this study we will add a new gene to the EBV T cells that can cause the cells to live longer called C7R. We know that T cells need substances called cytokines (substances such as proteins released by specific cells of the immune system) to survive and that the cells may not get enough cytokines after the cells are infused into the body. We have added the gene C7R that gives the cells a constant supply of cytokine and helps them to survive for a longer period of time.

The purpose of this study is to find the largest safe dose of C7R-EBV T cells, and additionally to evaluate how long they can be detected in the blood and what affect they have on the cancer.",NO,"Leukemia, Myeloid, Acute|Leukemia, B-cell|Leukemia, T-Cell|Lymphoma",BIOLOGICAL: Treatment Arm A,"Dose limiting toxicity (DLT) rate, 1. Dose-limiting toxicity (CTCAE v5.0) is defined as any grade 3 or 4 non-hematologic toxicities (including allergic reactions and ICANS) that fails to return to Grade 2 within 72 hours or any grade 5 toxicity (additional assessment criteria may apply)., Time Frame 4 weeks post infusion","Overall Response Rate, 1. Response rate by International Working Group Criteria for AML and disease specific response criteria for patients with other hematological malignancies.

The response rate for AML is calculated as the overall complete response rate (CRMRD- + CR + CRi), Time Frame 4 weeks post infusion",,Baylor College of Medicine,,"CHILD, ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-12-01,2026-05-01,2042-04-01
NCT05521204,Olverembatinib for FGFR1-rearranged Neoplasms,https://clinicaltrials.gov/study/NCT05521204,RECRUITING,"FGFR1-rearranged myeloid/lymphoid neoplasms are a rare hematologic malignancy with very poor outcome despite intensive chemotherapy. The only curative option is thought to be allogeneic hematopoietic stem cell transplantation (HSCT) in remission.

This phase II study is aimed to evaluate the efficacy of Olverembatinib, consolidated with HSCT in the treatment of FGFR1-rearranged myeloid/lymphoid neoplasm.",NO,Myeloproliferative Neoplasm|Acute Leukemia,DRUG: Olverembatinib,"Overall Response Rate, The proportion of participants who achieve Overall Response (ORR) based on response criteria for myeloid/lymphoid neoplasms with FGFR1 rearrangement, Assessed at protocol-defined timepoints through end of study, up to approximately 48 months.","Event-free survival (PFS), The Kaplan-Meier method will be used to assess EFS probabilities., From the first day of treatment until any failure (resistant disease, relapse, or death), assessed up to 2 to 4 years.|Overall survival (OS), The Kaplan-Meier method will be used to assess OS probabilities., From the first day of treatment to time of death from any cause, assessed up 2 to 4 years.|Incidence of adverse events (AEs), Will be graded according to National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version (v) 5.0. The proportion of patients with AEs will be estimated, along with the Bayesian 95% credible interval., Up to approximately 2 to 4 years.",,The First Affiliated Hospital of Soochow University,,"CHILD, ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-09-01,2024-08-31,2027-08-31
NCT03843528,Vorinostat Dose-escalation After Allogeneic Hematopoietic Cell Transplantation,https://clinicaltrials.gov/study/NCT03843528,RECRUITING,The objective of this study is to evaluate the maximum tolerated (MTD) of vorinostat used in combination with low-dose azacitidine after allogeneic hematopoietic cell transplantation (alloHCT) for prevention of relapse of childhood myeloid malignancies.,NO,Acute Myeloid Leukemia|Myelodysplastic Syndromes|Mixed Phenotype Acute Leukemia|Juvenile Myelomonocytic Leukemia,DRUG: Vorinostat|DRUG: Azacitidine Injection,"Maximum tolerated dose (MTD), The primary outcome of this study is to determine the MTD of vorinostat in combination with low-dose azacitidine, using dose-escalation methodology. This is based on toxicities developed by participants enrolled on the study., 4 months","Dose-limiting toxicities, Rates of side effects from vorinostat will be recorded and described., 4 months|GVHD, Incidence of GVHD will be recorded and described., 1 year|Relapse, Incidence of relapse will be recorded and described, 1 year|Survival, Duration of survival will be recorded and described, 1 year|Immune recovery, Immune profile will be measured monthly for the first year post-transplant., 1 year",,Johns Hopkins All Children's Hospital,,"CHILD, ADULT",PHASE1,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-05-01,2025-07-30,2025-10-30
NCT04940468,High- Fiber/ Low-fat Diet for Prevention of Recurrent Clostridioides Difficile Infection in Oncology,https://clinicaltrials.gov/study/NCT04940468,RECRUITING,The primary objective of the study is to determine whether dietary intervention to increase fiber and decrease fat reduces C. difficile infection recurrence in a cohort of oncology patients.,NO,"Leukemia, Lymphocytic, Acute|Leukemia, Myeloid, Acute|Lymphoma|Clostridium Difficile Infection",OTHER: Diet Intervention,"C. difficile infection recurrence (yes/no), Signs of active diarrhea using Bristol stool scale. The Bristol stool form scale includes seven types of stool which ranging from constipation (type 1) to diarrhea (type 7)., 6 months","C. difficile toxins A and B, Quantify toxins in stool using ""Separate detection of C. difficile toxins A and B"" kit (tgc Biomics), 6 weeks|Fecal microbiome, Characterize the microbiome in fecal samples as using 16S rRNA targeted and shotgun metagenomic sequencing, 6 weeks",,"University of Colorado, Denver",National Cancer Institute (NCI)|National Institute of Allergy and Infectious Diseases (NIAID),"CHILD, ADULT, OLDER_ADULT",NA,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2022-10-21,2025-12-18,2025-12-18
NCT04282174,CD34+ Enriched Transplants From HLA-Compatible Patients With Hematologic Malignancies,https://clinicaltrials.gov/study/NCT04282174,WITHDRAWN,"This is a Phase II trial testing disease-specific myeloablative conditioning regimens for preparatory cytoreduction of patients receiving allogeneic HLA-compatible related or unrelated transplants of GCSF-mobilized peripheral blood stem cells (PBSC) depleted of T-cells by positive selection of CD34+ progenitor cells using the CliniMACS system. The CliniMACS Fractionation system is a method that positively selects CD34+ progenitor cells from PBSC by immunoadsorption of cells binding on anti CD34 monoclonal antibody to paramagnetic beads, which can then be isolated by passage through a magnetized column and released by agitation of beads. Two conditioning regimens have been used successfully with an alternative similar system, isolex, which is no longer being manufactured.",NO,Hematologic Diseases|Hematologic Malignancy|Acute Lymphoblastic Leukemia|Acute Myeloid Leukemia|Chronic Myelogenous Leukemia|Chronic Lymphocytic Leukemia,DEVICE: CliniMACS|PROCEDURE: Bone Marrow Transplant|DRUG: Hyperfractionated Total Body Irradiation|DRUG: Thiotepa|DRUG: Cyclophosphamide|DRUG: Busulfan|DRUG: Melphalan|DRUG: Fludarabine,"Assess the change of incidence and severity of chronic GvHD, To assess the incidence and severity of chronic GvHD following T cell depleted, CD34+ progenitor cell enriched transplants fractionated by the CliniMACS system., 6 months, 1 year, 2 years|Assess the change of incidence and severity of acute GvHD, To assess the incidence and severity of acute GvHD following T cell depleted, CD34+ progenitor cell enriched transplants fractionated by the CliniMACS system., 6 months, 1 year, 2 years|Assess the change of incidence of non-relapse mortality, To assess the incidence of non-relapse mortality (transplant-related mortality) following each cytoreduction regimen and a transplant fractionated by the CliniMACS system., 6 months, 1 year, 2 years|Estimate the probability change of survival and disease-free survival (DFS), To estimate the probability of survival and disease-free survival (DFS) at 6 months, 1 year and 2 years post-transplant for each disease-targeted cytoreduction regimen when used with a T-cell depleted graft fractionated by the CliniMACS system., 6 months, 1 year, 2 years","Determine the proportion of patients receiving optimal CD34+; CD3+, To determine the proportion of patients receiving optimal CD34+ (\>5x 106/kg) and CD3+ (\< 5 x104/kg) cell doses the proportion recurring suboptimal doses (\<3 x 106/kg) CD34+ cells; and the proportion of patients receiving CD3+ T-cell doses \>5 x 104/kg., 6 months, 1 year, 2 years|Correlate doses of CD34+ progenitors and CD3+ T cells with engraftment, To correlate doses of CD34+ progenitors and CD3+ T cells with engraftment, graft vs. host disease and non-relapse mortality., 6 months, 1 year, 2 years",,Baptist Health South Florida,,"CHILD, ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2022-09,2030-03-01,2030-03-01
NCT06816134,Study on the Efficacy and Safety of the TmBU Conditioning Regimen in High-risk or Relapsed/Refractory Acute Leukemia,https://clinicaltrials.gov/study/NCT06816134,RECRUITING,"This project is a prospective, single-center, randomized controlled clinical study. The subjects were high-risk or relapsed/refractory AML or ALL patients aged ≤ 65 years diagnosed by bone marrow cell morphology, immunology, genetics and therapeutic efficacy evaluation. The TmBU scheme or modified Bu/Cy (mBuCy) scheme was used for pretreatment in allo-HSCT. The primary endpoint of the study was the 2-year cumulative incidence of relapse (CIR) after allo-HSCT, and the secondary endpoints were 2-year overall survival rate (OS), progressing-free survival rate (PFS), non-relapse mortality rate (NRM), graft-versus-host disease (GVHD)-free relapse-free survival (GRFS) rate.",NO,"Acute Myeloid Leukemia|Acute Lymphoblastic Leukemia|Transplantation, Stem Cell|Conditioning Therapy",DRUG: TmBU conditioning Regimen|DRUG: mBUCY conditioning regimen,"Cumulative incidence of relapse（CIR）, It is measured the date from complete remission after transplantation to hematological relapse or molecular relapse was recorded. Patients who had no relapse at the last follow-up were considered as censored data, and non-relapse death was regarded as a competing risk event., 2 years","Time period for hematopoietic reconstruction, Granulogenetic hematopoietic reconstitution: The absolute neutrophil count in peripheral blood needs to reach or exceed 0.5×10\^9 cells/L for 3 consecutive days. Megakaryotic hematopoietic reconstitution: platelet count needs to be more than 20×10\^9/L and does not rely on platelet transfusion for 7 consecutive days., 24 weeks|Incidence of acute graft-versus-host disease (aGVHD), 100 days|Progressing-free survival（PFS）, It is measured from the date of achievement of a remission until the date of relapse from CR, or CRi, or death from any cause; patients not known to have any of these events are censored on the date they were last examined., 2 years|Overall survival（OS）, It is measured from the date of entry into this trial to the date of death from any cause; patients not known to have died at last follow-up are censored on the date they were last known to be alive., 2 years|Non-relapse mortality（NRM）, It is described as proportion of deaths due to non-primary recurrence from enrollment start date to 2 years post-transplant., 2 years|Graft-versus-host disease (GVHD)-free relapse-free survival (GRFS), It is defined as a composite end point of death from any cause, relapse of malignancy, grade 3 to 4 acute GVHD, or chronic GVHD requiring systemic immune suppression therapy., 2 years",,The First Affiliated Hospital of Soochow University,,"CHILD, ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2025-01-30,2028-01-30,2030-01-30
